Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Goat,Common,Osmanabadi,7.0,Adult,Female,Helminthiasis,23,True,2,7.0,11,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Anemia', 'Weakness and Collapse', 'Extreme Paleness', 'Poor growth']",False,Farmer,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,Anemia,Extreme Paleness,Bottle Jaw,Weakness and Collapse,Inability to stand,
Cattle,Buffalo,Chilika,1.8,Young,Female,Anaplasmosis,27,True,2,4.0,6,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",True,Para-vet,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,Anemia,Lethargy and Weakness,Aggression,Unable to stand,,
Cattle,Cow,Ayrshire,7.6,Adult,Female,MCF,2,True,2,5.0,8,"['High fever', 'Incoordination', 'Seizures', 'Neurological signs', 'Nasal discharge', 'Ocular discharge', 'Oral ulcers', 'Diarrhea', 'Corneal opacity']",True,Farmer,MCF virus,"Avoid mixing cattle with sheep, especially during lambing season, as sheep are carriers of the virus.",Provide comfortable housing and proper nutrition to boost immunity during recovery.,No specific home remedy; supportive care is essential.,"Provide supportive care, including fluid therapy and anti-inflammatory drugs, as there is no specific treatment for MCF.",Diarrhea,Oral ulcers,Corneal opacity,Seizures,Incoordination,
Cattle,Bullock,Red Sindhi,5.0,Adult,Male,Coccidiosis,25,False,1,4.0,10,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",True,Para-vet,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,,,,,,
Goat,Common,Sirohi,0.4,Kid,Male,Ketosis,28,False,1,12.0,14,"['Weight loss', 'Weakness', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia']",False,Veterinarian,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Goat,Common,Barbari,0.6,Kid,Female,PPR,12,False,1,14.0,7,"['High fever', 'Emaciation', 'Nasal discharge', 'Anorexia', 'Diarrhea', 'Pneumonia']",True,Para-vet,Peste des Petits Ruminants virus,Vaccinate goats regularly and isolate infected animals promptly.,"Provide soft food, clean water, and stress-free housing.",Give herbal decoctions for appetite and oral rehydration solutions.,"Administer fluids to prevent dehydration, provide antibiotics for secondary infections, and vaccinate as part of disease management.",,,,,,
Goat,Common,Jakhrana,1.0,Young,Female,Brucellosis,19,False,1,11.0,15,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Para-vet,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Buffalo,Mehsana,1.7,Young,Female,FMD,15,False,1,6.0,9,"['Reduced milk', 'Weight loss', 'Blisters', 'Myocarditis', 'Drooling', 'Oral lesions']",False,Para-vet,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",,,,,,
Cattle,Buffalo,Swamp Buffaloes,5.2,Adult,Female,MCF,2,False,1,7.0,15,"['High fever', 'Incoordination', 'Seizures', 'Ocular discharge', 'Diarrhea', 'Corneal opacity']",True,Farmer,MCF virus,"Avoid mixing cattle with sheep, especially during lambing season, as sheep are carriers of the virus.",Provide comfortable housing and proper nutrition to boost immunity during recovery.,No specific home remedy; supportive care is essential.,"Provide supportive care, including fluid therapy and anti-inflammatory drugs, as there is no specific treatment for MCF.",,,,,,
Goat,Common,Nubian,5.5,Adult,Female,Acidosis,9,True,2,1.0,5,"['Recumbency', 'Dehydration', 'Inability to stand', 'Signs of shock', 'Cold extremities', 'Diarrhea']",True,Para-vet,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",Inability to stand,Cold extremities,Diarrhea,Signs of shock,,
Goat,Common,Barbari,0.7,Kid,Female,PPR,12,False,1,7.0,8,"['High fever', 'Nasal discharge', 'Anorexia', 'Labored breathing', 'Diarrhea', 'Pneumonia']",False,Farmer,Peste des Petits Ruminants virus,Vaccinate goats regularly and isolate infected animals promptly.,"Provide soft food, clean water, and stress-free housing.",Give herbal decoctions for appetite and oral rehydration solutions.,"Administer fluids to prevent dehydration, provide antibiotics for secondary infections, and vaccinate as part of disease management.",,,,,,
Cattle,Cow,Hallikar,0.7,Calf,Female,Salmonellosis,38,False,1,13.0,13,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Para-vet,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",,,,,,
Cattle,Cow,Bachaur,1.5,Young,Female,Blackleg,5,False,1,1.0,9,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",True,Veterinarian,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Cattle,Bullock,Amrit Mahal,2.8,Young,Male,Metritis,18,True,2,2.0,15,"['Lethargy', 'Fever', 'Anorexia', 'Depression', 'Foul vaginal discharge', 'Unable to stand']",True,Farmer,Uterine infection post-calving/kidding,Maintain hygiene during parturition and avoid unhygienic birthing practices.,Provide energy-rich feed and hydration during recovery.,Wash the vulva with warm saline solution.,Administer uterine antibiotics and oxytocin injections to aid uterine clearance.,Unable to stand,Foul vaginal discharge,Fever,Anorexia,Lethargy,
Cattle,Buffalo,Mehsana,0.9,Calf,Female,Rabies,3,False,1,14.0,5,"['Difficulty swallowing', 'Inability to stand', 'Salivation', 'Coma', 'Paralysis', 'Behavioral change']",True,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,,,,,,
Cattle,Calf,Sahiwal Calf,1.0,Young,Female,Rabies,3,True,2,5.0,14,"['Seizures', 'Difficulty swallowing', 'Inability to stand', 'Coma', 'Salivation', 'Behavioral change', 'Paralysis']",False,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,Paralysis,Inability to stand,Difficulty swallowing,Salivation,Seizures,Coma
Cattle,Bullock,Haryana,5.1,Adult,Male,Leptospirosis,22,True,2,3.0,13,"['Reduced milk', 'Inability to stand', 'Fever', 'Jaundice', 'Abortions', 'Depression', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Farmer,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,Hemoglobinuria (Red Water),Jaundice,Inability to stand,Fever,Depression,
Goat,Common,Barbari,6.5,Adult,Female,Helminthiasis,23,False,1,9.0,8,"['Weight loss', 'Anemia', 'Weakness and Collapse', 'Diarrhea', 'Extreme Paleness', 'Poor growth']",False,Farmer,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,,,,,,
Cattle,Cow,Sunandini,5.2,Adult,Female,Polioencephalomalacia,31,False,1,3.0,12,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",True,Farmer,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,,,,,,
Goat,Common,Nubian,7.0,Adult,Female,Theileriosis,6,True,2,3.0,12,"['Weight loss', 'Lethargy', 'Weakness', 'Frothy fluid from nose and mouth', 'Anaemia', 'Inability to stand', 'Anemia', 'Respiratory distress', 'Nervous signs', 'Lymph node enlargement']",True,Veterinarian,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,Anemia,Lethargy,Inability to stand,Frothy fluid from nose and mouth,Respiratory distress,Nervous signs
Goat,Common,Marwari,7.1,Adult,Female,CAE,32,False,1,9.0,10,"['Seizures', 'Loss of Consciousness', 'Lameness', 'Inability to Stand', 'Paralysis', 'Joint swelling']",False,Farmer,Caprine arthritis encephalitis virus,Test herds regularly and isolate infected animals.,Provide joint support and ensure pain management.,Provide soft bedding and easy-to-eat food.,No cure is available; provide supportive care and prevent spread through kid isolation and pasteurized milk feeding.,,,,,,
Cattle,Buffalo,Swamp Buffaloes,6.3,Adult,Female,IBR,0,False,1,3.0,12,"['Conjunctivitis', 'Reduced appetite', 'Abortions', 'Oral ulcers', 'Red nose', 'Difficulty breathing']",False,Veterinarian,BHV‑1,Avoid contact with infected animals and ensure regular vaccination against IBR.,"Keep the animal in a clean, stress-free environment with proper nutrition and hydration.",Steam inhalation to ease nasal congestion.,"Treat the animal with IBR vaccination, broad-spectrum antibiotics to prevent secondary infections, and non-steroidal anti-inflammatory drugs (NSAIDs) to control fever and pain.",,,,,,
Goat,Common,Nubian,4.3,Adult,Male,Salmonellosis,38,True,2,2.0,11,"['Reduced milk', 'Weight loss', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Para-vet,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",Diarrhea,Inability to stand,Neurological signs,,,
Cattle,Buffalo,Mehsana,6.5,Adult,Female,Blackleg,5,False,1,4.0,6,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Crepitus', 'Acute lameness']",False,Para-vet,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Goat,Common,Barbari,4.2,Adult,Male,CCPP,14,False,1,3.0,8,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",False,Veterinarian,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Cattle,Calf,Kankrej Calf,3.0,Adult,Female,Anaplasmosis,27,False,1,7.0,12,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",True,Para-vet,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
Goat,Common,Malabari,1.4,Young,Male,Theileriosis,6,False,1,12.0,13,"['High fever', 'Weakness', 'Frothy fluid from nose and mouth', 'Inability to stand', 'Respiratory distress', 'Lymph node enlargement']",True,Para-vet,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Goat,Common,Jamunapari,3.3,Adult,Female,Ketosis,28,False,1,14.0,7,"['Weight loss', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Para-vet,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Goat,Common,Marwari,5.2,Adult,Female,Anthrax,36,False,1,7.0,13,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",True,Veterinarian,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,,,,,,
Cattle,Bull,Mewati,3.5,Adult,Male,Blackleg,5,False,1,10.0,7,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Crepitus', 'Acute lameness']",True,Veterinarian,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Goat,Common,Rajasthani cross,3.6,Adult,Female,Bloat,8,False,1,4.0,5,"['Decreased appetite', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",True,Para-vet,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Cattle,Bullock,Kangayam,3.9,Adult,Male,Heartwater,37,False,1,9.0,14,"['High fever', 'Seizures', 'Recumbency', 'Neurological signs', 'Respiratory distress']",True,Para-vet,Ehrlichia ruminantium (tick-borne),Implement tick control measures and avoid high-risk pastures.,Provide supportive fluids and maintain a stress-free environment.,Use herbal washes for tick control.,Administer tetracycline antibiotics promptly.,,,,,,
Goat,Common,Jakhrana,6.9,Adult,Male,Mastitis,17,False,1,8.0,11,"['Systemic illness', 'Fever', 'Painful milking', 'Swollen udder', 'Hot udder', 'Abnormal milk']",True,Para-vet,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Goat,Common,Barbari,0.4,Kid,Male,Brucellosis,19,False,1,6.0,11,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",False,Para-vet,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Cow,Siri,6.1,Adult,Female,Polioencephalomalacia,31,False,1,5.0,6,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",True,Farmer,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,,,,,,
Cattle,Calf,Red Sindhi Calf,3.3,Adult,Male,Salmonellosis,38,False,1,6.0,5,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Veterinarian,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",,,,,,
Goat,Common,Jakhrana,3.2,Adult,Female,Brucellosis,19,True,3,9.0,22,"['AbortionS', 'Abortions', 'Reduced milk production', 'Swollen joints in males', 'Infertility', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Veterinarian,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,AbortionS,Retained placenta,Reduced milk production,Infertility,Swelling of testicles (Orchitis),
Goat,Common,Jakhrana,6.7,Adult,Female,Toxoplasmosis,20,False,1,11.0,7,"['Weak kids', 'Abortions', 'Fetal mummification', 'Stillbirths']",True,Farmer,Toxoplasma gondii,Keep cats away from feed storage areas and use clean bedding.,Provide supportive nutrition and proper care to pregnant animals.,Maintain feed hygiene and control cat access to feed areas.,Administer sulfonamides or tetracyclines along with supportive care.,,,,,,
Goat,Common,Osmanabadi,6.3,Adult,Female,Fascioliasis,24,False,1,3.0,5,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Jaundice', 'Extreme Paleness', 'Bottle jaw']",False,Farmer,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Goat,Common,Osmanabadi,7.6,Adult,Male,Hemorrhagic Septicemia,39,False,1,13.0,10,"['High fever', 'Swelling of throat/jaw', 'Respiratory distress', 'Recumbency']",False,Para-vet,Pasteurella multocida,Vaccinate regularly before monsoon and avoid overcrowding.,Provide fluids and ensure proper nursing care.,Keep animals in a warm and dry shelter.,"Administer appropriate antibiotics, NSAIDs, and vaccinate against HS.",,,,,,
Goat,Common,Nubian,6.4,Adult,Male,Heartwater,37,False,1,7.0,11,"['High fever', 'Seizures', 'Recumbency', 'Neurological signs', 'Respiratory distress']",True,Farmer,Ehrlichia ruminantium (tick-borne),Implement tick control measures and avoid high-risk pastures.,Provide supportive fluids and maintain a stress-free environment.,Use herbal washes for tick control.,Administer tetracycline antibiotics promptly.,,,,,,
Goat,Common,Sirohi,4.7,Adult,Male,Copper Deficiency,30,False,1,10.0,13,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",False,Para-vet,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,,,,,,
Goat,Common,Jamunapari,2.7,Adult,Male,FMD,15,False,1,9.0,15,"['Lameness', 'Fever', 'Anorexia', 'Myocarditis', 'Oral lesions', 'Drooling']",True,Para-vet,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",,,,,,
Goat,Common,Barbari,1.4,Young,Male,Theileriosis,6,False,1,13.0,9,"['High fever', 'Lethargy', 'Anaemia', 'Lymph node enlargement', 'Respiratory distress', 'Frothy fluid from nose and mouth']",True,Para-vet,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Goat,Common,Sirohi,2.7,Adult,Male,Mastitis,17,False,1,7.0,7,"['Systemic illness', 'Fever', 'Painful milking', 'Painful udder', 'Swollen udder', 'Abnormal milk']",True,Farmer,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Goat,Common,Jamunapari,3.8,Adult,Female,Salmonellosis,38,True,2,2.0,12,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",False,Veterinarian,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",Diarrhea,Inability to stand,Neurological signs,,,
Goat,Common,Malabari,0.4,Kid,Male,Brucellosis,19,True,3,9.0,26,"['AbortionS', 'Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",False,Para-vet,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,AbortionS,Retained placenta,Reduced milk production,Infertility,Swelling of testicles (Orchitis),
Cattle,Cow,Kenkatha,6.7,Adult,Female,Anorexia,10,False,1,4.0,5,"['Weight loss', 'High fever', 'Weakness', 'Reduced feed intake', 'Severe bloating', 'Intense pain']",False,Veterinarian,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,,,,,,
Goat,Common,Osmanabadi,5.3,Adult,Male,Fascioliasis,24,False,1,10.0,6,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Anemia', 'Profound Weakness', 'Bottle jaw']",True,Para-vet,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Goat,Common,Jamunapari,5.1,Adult,Female,CAE,32,False,1,12.0,13,"['Seizures', 'Lameness', 'Joint swelling', 'Inability to Stand', 'Paralysis', 'Loss of Consciousness']",True,Farmer,Caprine arthritis encephalitis virus,Test herds regularly and isolate infected animals.,Provide joint support and ensure pain management.,Provide soft bedding and easy-to-eat food.,No cure is available; provide supportive care and prevent spread through kid isolation and pasteurized milk feeding.,,,,,,
Cattle,Calf,Karan Swiss Calf,2.2,Young,Male,Babesiosis,26,False,1,11.0,11,"['Incoordination', 'Weakness', 'Fever', 'Staggering', ""Hemoglobinuria ('Redwater')"", 'Mania']",True,Veterinarian,Babesia species (tick-borne),Implement regular tick control programs and maintain pasture hygiene.,Provide iron supplements and high-energy feed.,Use neem oil spray for tick control.,Administer imidocarb or oxytetracycline under veterinary supervision.,,,,,,
Goat,Common,Rajasthani cross,6.0,Adult,Female,Brucellosis,19,False,1,9.0,8,"['Abortions', 'Reduced milk production', 'Swollen joints in males', 'Infertility', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Farmer,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Cow,Holstein Friesian,2.2,Young,Female,Ketosis,28,True,2,2.0,7,"['Weight loss', 'Weakness', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Veterinarian,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,Anorexia,Inability to Stand,Neurological Signs,,,
Goat,Common,Malabari,1.7,Young,Female,Helminthiasis,23,True,2,7.0,10,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Anemia', 'Weakness and Collapse', 'Diarrhea', 'Extreme Paleness', 'Poor growth']",True,Farmer,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,Anemia,Extreme Paleness,Bottle Jaw,Weakness and Collapse,Inability to stand,
Goat,Common,Barbari,1.8,Young,Female,Theileriosis,6,False,1,3.0,10,"['Lethargy', 'Weakness', 'Anaemia', 'Jaundice', 'Respiratory distress', 'Frothy fluid from nose and mouth']",True,Farmer,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Goat,Common,Sirohi,7.9,Adult,Male,Anthrax,36,False,1,1.0,7,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",True,Veterinarian,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,,,,,,
Goat,Common,Jakhrana,4.4,Adult,Female,Milk Fever,29,False,1,14.0,11,"['Weakness', 'Complete Collapse', 'Recumbency', 'Muscle tremors', 'Cold ears', 'Loss of Consciousness']",False,Para-vet,Calcium deficiency (Hypocalcemia),Monitor high-yielding animals during calving and provide calcium-rich diets.,Provide soft bedding and help the animal stand to prevent muscle injury.,Provide oral calcium supplements during early lactation.,Administer IV calcium borogluconate under veterinary guidance.,,,,,,
Cattle,Cow,Dangi,1.7,Young,Female,Fascioliasis,24,False,1,14.0,13,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Jaundice', 'Profound Weakness', 'Bottle jaw']",True,Farmer,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Goat,Common,Rajasthani cross,6.1,Adult,Male,Blue Tongue,16,False,1,13.0,5,"['Inability to stand', 'Facial swelling', 'Fever', 'Severe respiratory distress', 'Anorexia', 'Oral ulcers']",True,Para-vet,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",,,,,,
Goat,Common,Sirohi,3.1,Adult,Female,Salmonellosis,38,False,1,11.0,12,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Veterinarian,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",,,,,,
